id,name,address,addressNumber,zipCode,districtCode,districtName,altitude,nearbyStations,location,stationType,lat,lon
55,55 5 DE MAYO-BOLIVAR,055 - 5 de Mayo - Bolívar,S/N,06700,1,Ampliación Granada,,"[65, 87]","{'lat': 19.434356, 'lon': -99.138064}","BIKE,TPV",19.434356,-99.138064
124,124 CLAUDIO BERNARD-DR. LICEAGA,124 - Claudio Bernard-Dr. Liceaga,S/N,06500,1,Ampliación Granada,,"[119, 123, 133]","{'lat': 19.422392, 'lon': -99.150358}",BIKE,19.422392,-99.150358
159,159 HUATABAMPO-EJE 1 PTE. AV. CUAUHTÉMOC,159 - Huatabampo-Eje 1 Pte. Av. Cuauhtémoc,S/N,06760,1,Ampliación Granada,,"[155, 158, 163]","{'lat': 19.407517, 'lon': -99.155373}",BIKE,19.407517,-99.155373
241,E241 EJERCITO NAL-JUAN VAZQUEZ DE LA MELLA ,241 - Ejercito Nacional-Juan Vazquez de la Mella,S/N,11520,1,Ampliación Granada,,"[222, 460]","{'lat': 19.43862, 'lon': -99.20758}",ELECTRIC_BIKE,19.43862,-99.20758
243,243 MIGUEL DE CERVANTES SAAVEDRA-LAGO FILT ,243 - Miguel de Cervantes Saavedra-Lago Filt,S/N,11510,1,Ampliación Granada,,"[199, 242, 244]","{'lat': 19.440839, 'lon': -99.196712}",BIKE,19.440839,-99.196712
350,350 JOSE CLEMENTE OROZCO-CORREGGIO,350 - Jose Clemente Orozco-Correggio,S/N,3710,1,Ampliación Granada,,"[349, 352]","{'lat': 19.384062, 'lon': -99.181482}",BIKE,19.384062,-99.181482
445,E445 RIFF-AVENIDA RIO CHURUBUSCO,445 - Riff-Avenida Rio Churubusco,S/N,3340,1,Ampliación Granada,,"[434, 446]","{'lat': 19.35827, 'lon': -99.156105}",ELECTRIC_BIKE,19.35827,-99.156105
463,463 LAGO ANDRÓMACO-LAGO ZURICH,463 LAGO ANDRÓMACO-LAGO ZURICH,S/N,11529,1,Ampliación Granada,,"[197, 242, 462]","{'lat': 19.442338, 'lon': -99.202492}",BIKE,19.442338,-99.202492
469,E469 BAHÍA DE LA CONCEPCIÓN-BAHÍA DE TODOS LOS SAN,469BAHÍA DELA CONCEPCIÓN-BAHÍA DE TODOS LOS SANTOS,S/N,11300,2,Anzures,,"[247, 470, 472]","{'lat': 19.434183, 'lon': -99.173089}",ELECTRIC_BIKE,19.434183,-99.173089
470,470 BAHÍA DE LAS PALMAS-BAHÍA DE TODOS LOS SANTOS,470 BAHÍA DE LAS PALMAS-BAHÍA DE TODOS LOS SANTOS ,S/N,11300,2,Anzures,,"[471, 473]","{'lat': 19.435039, 'lon': -99.173879}",BIKE,19.435039,-99.173879
471,471 BAHÍA DE CHACHALACAS-BAHÍA SANTA BÁRBARA ,471 BAHÍA DE CHACHALACAS-BAHÍA SANTA BÁRBARA ,S/N,11300,2,Anzures,,"[470, 473, 474]","{'lat': 19.436287, 'lon': -99.174888}",BIKE,19.436287,-99.174888
472,E472 BAHÍA SANTA BÁRBARA-BAHÍA DE BALLENAS ,472 BAHÍA SANTA BÁRBARA-BAHÍA DE BALLENAS ,S/N,11300,2,Anzures,,"[247, 469, 471, 473, 474, 479]","{'lat': 19.437667, 'lon': -99.17711}",ELECTRIC_BIKE,19.437667,-99.17711
473,473 BAHÍA DEL ESPÍRITU SANTO-BAHÍA DE BANDERAS,473 BAHÍA DEL ESPÍRITU SANTO-BAHÍA DE BANDERAS,S/N,11300,2,Anzures,,"[471, 474, 478]","{'lat': 19.438143, 'lon': -99.17519}","BIKE,TPV",19.438143,-99.17519
452,452 LEIBNITZ-AV. EJERCITO NACIONAL,452 LEIBNITZ-AV. EJERCITO NACIONAL,S/N,11590,2,Anzures,,[452],"{'lat': 19.435031, 'lon': -99.179838}",BIKE,19.435031,-99.179838
246,246 LEIBNITZ-THIERS,246 - Leibnitz-Thiers,S/N,11510,2,Anzures,,"[207, 247, 248]","{'lat': 19.434147, 'lon': -99.179835}",BIKE,19.434147,-99.179835
247,E247 HERSCHEL-ROUSSEAU ,247 - Herschel-Rousseau,S/N,11510,2,Anzures,,"[246, 469, 472]","{'lat': 19.432276, 'lon': -99.18064}",ELECTRIC_BIKE,19.432276,-99.18064
248,248 SHAKESPEARE-LAFAYETTE ,248 - Shakespeare-Lafayette,S/N,11510,2,Anzures,,"[246, 247, 249]","{'lat': 19.43175, 'lon': -99.177399}",BIKE,19.43175,-99.177399
249,249 SHAKESPEARE-DARWIN ,249 - Shakespeare-Darwin,S/N,11510,2,Anzures,,"[248, 250, 251]","{'lat': 19.429877, 'lon': -99.177569}",BIKE,19.429877,-99.177569
250,250 DARWIN-MARIANO ESCOBEDO ,250 - Darwin-Mariano Escobedo,S/N,11510,2,Anzures,,"[239, 249, 252]","{'lat': 19.429057, 'lon': -99.17966}","BIKE,TPV",19.429057,-99.17966
251,251 GOETHE-DARWIN ,251 - Goethe-Darwin,S/N,11510,2,Anzures,,"[248, 249, 252]","{'lat': 19.429261, 'lon': -99.17538}",BIKE,19.429261,-99.17538
252,252 VICTOR HUGO-SHAKESPEARE ,252 - Víctor Hugo-Shakespeare,S/N,11510,2,Anzures,,"[249, 251, 253]","{'lat': 19.427575, 'lon': -99.17702}",BIKE,19.427575,-99.17702
253,253 DANTE-TOLSTOI ,253 - Dante-Tolstoi,S/N,11510,2,Anzures,,"[195, 252, 261]","{'lat': 19.425835, 'lon': -99.177924}","BIKE,TPV",19.425835,-99.177924
433,433 JOSE MARÍA OLLOQUI-LOPÉZ COSTILLA,433 - Jose María Olloqui-Lopéz Costilla,S/N,3104,ACA,Acacias,,"[434, 435, 439]","{'lat': 19.363558, 'lon': -99.170819}",BIKE,19.363558,-99.170819
434,E434 JOSE MARÍA OLLOQUI-AMORES,434 - Jose María Olloqui-Amores,S/N,3104,ACA,Acacias,,"[391, 433, 435]","{'lat': 19.363741, 'lon': -99.171268}",ELECTRIC_BIKE,19.363741,-99.171268
423,423 MORAS-JOSÉ MARÍA RICO (EJE 8),423 - Moras-José María Rico (Eje 8),S/N,3240,ACA,Acacias,,"[422, 436, 437]","{'lat': 19.367631, 'lon': -99.175342}",BIKE,19.367631,-99.175342
436,436 RODRIGUEZ SARO-BUFALLO,436 - Rodriguez Saro-Bufallo,S/N,3240,ACA,Acacias,,"[422, 423, 437]","{'lat': 19.366217, 'lon': -99.177819}",BIKE,19.366217,-99.177819
437,437 MORAS-COMUNAL,437 - Moras-Comunal,S/N,3240,ACA,Acacias,,"[423, 436, 438]","{'lat': 19.36480833, 'lon': -99.17602222}",BIKE,19.36480833,-99.17602222
438,438 ADOLFO PRIETO-JOSÉ MARÍA OLLOQUI,438 - Adolfo Prieto-José María Olloqui,S/N,3240,ACA,Acacias,,"[434, 435, 437]","{'lat': 19.36479722, 'lon': -99.17458333}",BIKE,19.36479722,-99.17458333
439,439 AMORES-AVENIDA COYOACÁN,439 - Amores-Avenida Coyoacán,S/N,3240,ACA,Acacias,,"[433, 434, 438]","{'lat': 19.36218889, 'lon': -99.17246667}",BIKE,19.36218889,-99.17246667
420,420 MARÍA LUZ BRINGAS-OSO,420 - María Luz Bringas-Oso,S/N,3230,ACT,Actipan,,"[418, 419, 421]","{'lat': 19.369723, 'lon': -99.17964}",BIKE,19.369723,-99.17964
